origin	name	block	shorthand	heatshield	lander	structure (Mg)	fuel (Mg)	sealevel thrust (DkN)	sealevel exhaust? (km/s)	vacuum thrust (DkN)	vacuum exhaust (km/s)	min throttle	unpressurized volume (m³)	pressurized volume (m³)	habitable volume (m³)
			Mg			1	0	0	1	0	1	_	0	0	0
spacex	crew starship	1	ssc1	interplanetary	x	120	1200	1250	3.2	1250	3.7	0.083ʰʲ	0		
spacex	crew starship	2	ssc2	interplanetary	x	120	1500	1360	3.2	1400	3.7	0.083ʰʲ	0		
spacex	crew starship	3	ssc3	interplanetary	x	110?	1600	1500	3.2	1600	3.7	0.083ʰʲ	0	1000ᶜ	600ᶜ
spacex	crew starship	4	ssc4	interplanetary	x	110?	2300	1818	3.2	2700	3.7	0.083ʰʲ	0	1000ᶜ	600ᶜ
spacex	freighter starship	3	ssf3	interplanetary	x	110?	1600	1500	3.2	1600	3.7	0.083ʰʲ	1000ᶜ	0	0
spacex	freighter starship	4	ssf4	interplanetary	x	110?	2300	1818	3.2	2700	3.7	0.083ʰʲ	1000ᶜ	0	0
spacex	tanker starship	3	sst3	interplanetary	x	110?	2076ᵈ	1500	3.2	1600	3.7	0.083ʰʲ	0	0	0
spacex	tanker starship	4	sst4	interplanetary	x	110?	2776ᵈ	1818	3.2	2700	3.7	0.083ʰʲ	0	0	0
spacex	lunar crew starship	3	sslc3		x	90ᵇ	1600	1500	_	1600	3.7	0.083ʰʲ	0	1000ᶜ	600ᶜ
spacex	lunar crew starship	4	sslc4		x	90ᵇ	2300	1818	_	2700	3.7	0.083ʰʲ	0	1000ᶜ	600ᶜ
spacex	lunar freighter starship	3	sslf3		x	90ᵇ	1600	1500	_	1600	3.7	0.083ʰʲ	1000ᶜ	0	0
spacex	lunar freighter starship	4	sslf4		x	90ᵇ	2300	1818	_	2700	3.7	0.083ʰʲ	1000ᶜ	0	0
spacex	lunar tanker starship	3	sslt3		x	90ᵇ	2076ᵈ	1500	_	1600	3.7	0.083ʰʲ	0	0	0
spacex	lunar tanker starship	4	sslt4		x	90ᵇ	2776ᵈ	1818	_	2700	3.7	0.083ʰʲ	0	0	0
spacex	orbiter starship	3	sso3			85ᵇ	1600	1500	_	1600	3.7	0.083ʰʲ	0	1000ᶜ	600ᶜ
