origin	name	block	shorthand	heatshield	lander	structure (Mg)	fuel (Mg)	sealevel thrust (DkN)	sealevel exhaust? (km/s)	vacuum thrust (DkN)	vacuum exhaust (km/s)	min throttle	unpressurized volume (m³)	pressurized volume (m³)	habitable volume (m³)
spacex	orbiter starship	4	sso4			85ᵇ	2300	1818	_	2700	3.7	0.083ʰʲ	0	1000ᶜ	600ᶜ
spacex	depot starship	3	ssd3			85ᵇ	2076ᵈ	1500	3.2	1600	3.7	0.083ʰʲ	0	0	0
spacex	depot starship	4	ssd4			85ᵇ	2776ᵈ	1818	3.2	2700	3.7	0.083ʰʲ	0	0	0
spacex	starship booster	1	ssb1		x	240	3250	7130	3.2	7130?	3.4	0.015ʰʲ	0	0	0
spacex	starship booster	2	ssb2		x	240	3250	7590	3.2	7720?	3.4	0.015ʰʲ	0	0	0
spacex	starship booster	3	ssb3		x	266	3650	8240	3.2	8789?	3.4	0.015ʰʲ	0	0	0
spacex	starship booster	4	ssb4		x	275	4050	10000	3.2	14851	3.4	0.015ʰʲ	0	0	0
nasa	sls srb		srb5			91	640	1200	2.64	1470		1	0	0	0
nasa	sls ssme		slsme			97.94	984	744	3.59	911.6	4.43		0	0	0
nasa	orion cm+esm		orion	interplanetary		15.483	33.446	_	_	4.37	2.6		0	19.6	8.9
nasa	shuttle ssme		ssme	orbital	x	110	110	558	3.6	683.7	4.4		387	74.3	74.3
nasa	shuttle oms		ssoms	orbital	x	78	110	_	_	5.34	3.1		0	0	0
nasa	shuttle srb		srb4			91	500	1200	2.64	1470		1	0	0	0
nasa	shuttle et		sset			26	740	_	_	_	_		0	0	0
nasa	saturn v ic		s51c			137	2077	3300	2.5	_	_		0	0	0
nasa	saturn v ii		s52			43	427	_	_	440	4.16		0	0	0
nasa	saturn v ivb		s54b			15	105	_	_	100	4.16		0	0	0
nasa	apollo csm		acsm	interplanetary		11.9	2.8	_	_	9.119	3.084		0	10.4	5.9
nasa	apollo dps		adps		x	4.28	10.9	_	_	4.39ˡ	3.05	0.55ˡ		6.7	4.5ˡ
nasa	apollo aps		aaps		x	2.15	2.55	_	_	1.6	3.05			6.7	4.5
spacex	falcon 9 stage 1	1	f911		x	25.6	395.7		2.75	494	2.98	0.066ʰ	0	0	0
spacex	falcon 9 stage 1	5	f951		x	22.2	410.9	7600	2.77	882.9	3.05	0.044ʰⁱ	0	0	0
spacex	falcon 9 stage 2	1	f912		x	3.9	92.67	_	_	61.7	3.35	0.6ʰ	0	0	0
spacex	falcon 9 stage 2	5	f952		x	4	107.5	_	_	93.4	3.41	0.4ʰⁱ	0	0	0
spacex	dragon 1		d1	orbital		4.2		_	_	0.04	2.9		14	11	
spacex	dragon 1 extended		d1e	orbital		4.2		_	_	0.04	2.9		34	11	
spacex	dragon 2		d2	orbital		7.7	2.562	_	_	7.1	2.9		37	9.3	
blue origin	new glen gs1		ng721			100?	1229	1992.8			3.3	0.064ʰᵏ			
blue origin	new glen 9x4 gs1		ng941					2562.2			3.3	0.05ʰᵏ			
blue origin	new glen gs2		ng2						_	177.9	4.36				
blue origin	new glen 9x4 gs2		ng942						_	355.8	4.36				
blue origin	blue moon	2	bm2		x	16	29	_	_	4.4	4.5				
ula	starliner		slcsv	orbital		10.886ʲ	5.9ʲ	_	_					11	
ula	vulcan booster		gem63xl			4.521	47.853	206.1	2.749			1	0	0	0
ula	vulcan		vulcan			28.6	382		3.1	489.3	3.3		0	0	0
nasa	centaur 2 engine	3	centaur3			2.247	20.83	_	_	9.92	4.418	0.47	0	0	0
nasa	centaur 1 engine	3	centaur3			2.462	20.83	_	_	9.92	4.418	0.47	0	0	0
nasa	centaur	4	centaur4			7.1	46.5	_	_	21.46	4.520	0.47	0	0	0
nasa	centaur	5	centaur5			7.1	45.9	_	_	21.46	4.520	0.47	0	0	0
nasa	voyager		vger			0.7219	0.0931	_	_	0.00889	2.2		0	0	0
nasa	cassini		cassini			2.125	3.587	_	_	0.445	3.26		0	0	0
